Wall time,Step,Value
1611053455.5076597,79400,-159.53909301757812
1611053530.518337,80100,-159.71807861328125
1611053582.992861,80600,-159.47451782226562
1611053605.2008624,80800,-158.33621215820312
1611053653.9849846,81300,-155.14544677734375
1611053673.8799827,81500,-160.06349182128906
1611053712.400985,81900,-157.95330810546875
1611053753.798046,82300,-160.343994140625
1611053812.6956346,82900,-158.7553253173828
1611053822.8926346,83000,-162.0197296142578
1611054035.054194,85300,-167.66275024414062
1611054066.778194,85700,-162.3877716064453
1611054380.9228387,89000,-166.2200469970703
1611054437.983374,89700,-166.11639404296875
1611054504.2294211,90300,-169.0003662109375
1611054665.134908,91700,-170.9988250732422
1611054711.8169699,92100,-172.82052612304688
1611054774.2125027,92800,-171.67747497558594
1611054789.552505,93000,-173.1130828857422
1611054847.341503,93800,-173.18016052246094
1611054957.710704,95200,-175.56854248046875
1611054965.1657043,95300,-173.5382843017578
1611055040.5493388,96300,-175.52745056152344
1611055062.4463394,96600,-175.69891357421875
1611055130.509339,97500,-175.31460571289062
1611055193.9763434,98300,-173.11444091796875
1611055262.5613399,99200,-174.033447265625
1611055271.3473623,99300,-174.52645874023438
1611055317.6983387,99900,-179.85610961914062
1611055325.128342,100000,-181.1566619873047
1611055366.80634,100500,-175.4793701171875
1611055504.0173407,102300,-180.11737060546875
1611055527.4833415,102600,-173.1879119873047
1611055597.30834,103500,-176.89932250976562
1611055874.606533,106500,-181.55050659179688
1611055976.4795318,107800,-174.3746337890625
1611056028.8755333,108400,-176.93344116210938
1611056051.2545316,108700,-181.8495635986328
1611056064.7445369,108900,-176.0865020751953
1611056095.120534,109300,-179.73353576660156
1611056144.5151231,109900,-183.62554931640625
1611056188.6921241,110400,-183.68011474609375
1611056275.043119,111400,-182.91824340820312
1611056320.6891093,112000,-185.5352325439453
1611056363.7702916,112500,-180.16226196289062
1611056440.2233434,113500,-177.284912109375
1611056792.03819,117700,-187.23558044433594
1611056828.1031928,118100,-179.71871948242188
1611056836.332191,118200,-186.16270446777344
1611056843.5701873,118300,-182.2164764404297
1611057010.6823826,120100,-182.72964477539062
1611057119.1894426,121400,-185.69432067871094
1611057228.5564446,122700,-181.046630859375
1611057464.9795887,125300,-187.56430053710938
1611057541.676589,126500,-188.15921020507812
1611057617.8645887,127600,-188.09695434570312
1611057639.0625887,127900,-180.94418334960938
1611057661.72259,128200,-189.72828674316406
1611057799.8625886,130200,-183.34249877929688
1611057840.7165914,130800,-188.58590698242188
1611057884.1495888,131500,-184.60372924804688
1611057925.4585881,132100,-189.6121826171875
1611058032.1735876,133700,-189.52598571777344
1611058051.7245865,134000,-182.28038024902344
1611058124.583589,135100,-184.01657104492188
1611058144.4125884,135400,-187.15814208984375
1611058163.8285882,135700,-185.10159301757812
1611058170.4625895,135800,-180.3378143310547
1611058508.7915876,140600,-182.3197784423828
1611058527.9095893,140900,-187.98193359375
1611058546.0935876,141200,-185.0787353515625
1611058552.383588,141300,-180.09591674804688
1611058700.5775895,143500,-185.57228088378906
1611058796.318706,144700,-188.8521728515625
1611058864.3337076,145700,-183.02401733398438
1611058892.2217038,146100,-184.47808837890625
1611059060.6037061,148600,-182.40042114257812
1611059067.5747042,148700,-187.69212341308594
1611059142.4247057,149800,-184.85162353515625
1611059196.7667072,150600,-182.443359375
1611059220.7327063,151000,-190.07601928710938
1611059232.5997055,151200,-193.9061737060547
1611059442.7417045,154400,-192.84332275390625
1611059467.5087054,154800,-193.92523193359375
